bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(1107.832, 1112.533]",1107.9361815293819,1112.5091029765595,3,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",154
"(1112.533, 1117.234]",1112.7120085279269,1117.226085518383,4,"(('bin_equal_frequency_5', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",77
"(1117.234, 1121.935]",1117.371897172739,1121.738596674706,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",96
"(1121.935, 1126.636]",1121.9693991137572,1126.3779733397548,4,"(('norm_log', 'age'), ('bin_equal_width_10', 'age'), ('IQR', 'education'), ('isolationForest', 'age'))",65
"(1126.636, 1131.337]",1126.6736465511317,1131.2312566273504,3,"(('zscore_filter_3', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",166
"(1131.337, 1136.038]",1131.3370033381843,1136.0254849063997,3,"(('winsorize', 'education'), ('IQR', 'age'), ('isolationForest', 'age'))",87
"(1136.038, 1140.738]",1136.116398152742,1140.7231205028677,3,"(('IQR', 'age'), ('norm_log', 'education'), ('isolationForest', 'age'))",137
"(1140.738, 1145.439]",1140.7620032253994,1145.4324210346324,3,"(('bin_equal_frequency_10', 'age'), ('winsorize', 'education'), ('isolationForest', 'age'))",205
"(1145.439, 1150.14]",1145.638485524134,1150.1258772543965,3,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",174
"(1150.14, 1154.841]",1150.163980697874,1154.8402302559637,4,"(('bin_equal_frequency_10', 'age'), ('winsorize', 'education'), ('zscore_filter_3', 'education'), ('isolationForest', 'age'))",83
"(1154.841, 1159.542]",1154.9263600135366,1159.4957729424477,3,"(('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('bin_equal_width_2', 'age'))",172
"(1159.542, 1164.243]",1159.7033311200437,1164.214440620498,3,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",234
"(1164.243, 1168.944]",1164.2457563678186,1168.7718686683984,2,"(('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",239
"(1168.944, 1173.645]",1168.988192946512,1173.4900822723478,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",153
"(1173.645, 1178.346]",1173.7234563161492,1178.2620162510534,4,"(('bin_equal_frequency_2', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",140
"(1178.346, 1183.046]",1178.4469844642365,1183.0033814920594,3,"(('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('bin_equal_frequency_5', 'age'))",183
