bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(31899.361, 32070.702]",31903.276864453335,32039.227527348325,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'), ('zscore_clip_3', 'yr_built'))",19
"(32070.702, 32242.043]",32085.77070012642,32235.638404225174,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'), ('IQR', 'yr_built'))",18
"(32242.043, 32413.384]",32250.685700516566,32410.84399283398,3,"(('bin_equal_frequency_2', 'condition'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",44
"(32413.384, 32584.725]",32423.818250839715,32566.118148246547,2,"(('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",48
"(32584.725, 32756.066]",32608.743421336636,32747.18624497624,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_5', 'sqft_living'))",28
"(32756.066, 32927.407]",32757.15314490348,32924.10278789792,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_2', 'sqft_lot15'), ('isolationForest', 'TABLE'))",35
"(32927.407, 33098.747]",32930.93725884601,33096.57061016653,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",35
"(33098.747, 33270.088]",33101.9035721845,33261.25549938349,3,"(('bin_equal_frequency_2', 'condition'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",37
"(33270.088, 33441.429]",33271.843708281405,33441.230991393095,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",46
"(33441.429, 33612.77]",33453.899740220164,33610.12729663518,2,"(('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",62
"(33612.77, 33784.111]",33615.455901609035,33784.0137463361,3,"(('bin_equal_frequency_2', 'sqft_lot'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",41
"(33784.111, 33955.452]",33787.76430089353,33953.30479427613,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_above'))",42
"(33955.452, 34126.793]",33955.49149617925,34124.049715808476,3,"(('bin_equal_frequency_2', 'bedrooms'), ('isolationForest', 'TABLE'), ('bin_equal_frequency_2', 'sqft_lot15'))",47
"(34126.793, 34298.134]",34134.1409024325,34296.34914708184,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",46
"(34298.134, 34469.475]",34306.40324965492,34458.6044727838,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'))",57
"(34469.475, 34640.816]",34471.4797973847,34638.144604792935,2,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'))",70
"(34640.816, 34812.156]",34642.04223971465,34810.39425009978,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'yr_built'))",61
"(34812.156, 34983.497]",34812.81200059573,34980.52962557366,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'))",64
"(34983.497, 35154.838]",34984.01635507122,35151.710669128166,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'))",94
"(35154.838, 35326.179]",35158.83722840436,35325.83784814377,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('IQR', 'sqft_lot'))",56
"(35326.179, 35497.52]",35331.088328868966,35487.96762767248,2,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",92
